name,LogFC,mean_pg,mean_control,f,f_WT,delta,delta_WT,delta_WT_norm,pvalue,pvalue_WT,padj,padj_WT,exp
CAD1,-0.41925035770319674,6.675414818857187,7.094665176560384,-0.05909374822765865,-0.04340396594362797,-0.41925035770319674,-0.32298490307806027,-3.355148576774328,0.05574604970900361,0.1011618196245389,0.8346204343756456,0.999525168978149,pg_pd
CAF120,0.7359433942998663,3.0197778071204593,2.283834412820593,0.32224025970033343,0.3379300419843641,0.7359433942998663,0.8322088489250028,8.644937606804794,0.4674403277385783,0.41995961408590315,0.9954936997189089,0.999525168978149,pg_pd
CAF130,-1.316489515631106,2.068417221623471,3.384906737254577,-0.388929331831128,-0.3732395495470973,-1.316489515631106,-1.2202240610059696,-12.67561728927159,0.39663241430456897,0.4290054130736963,0.9954936997189089,0.999525168978149,pg_pd
CAF16,-0.07751678229847858,4.519714363897214,4.597231146195693,-0.01686162384126049,-0.0011718415572298142,-0.07751678229847858,0.01874867232665789,0.19476012864289022,0.8484395437504735,0.9629485247855157,0.9954936997189089,0.999525168978149,pg_pd
CAF4,-0.03549697759105008,9.993631476772585,10.029128454363635,-0.0035393880687215134,0.012150394215309163,-0.03549697759105008,0.06076847703408639,0.631259440582528,0.9334463959868508,0.8864253069884304,0.9979039075422546,0.999525168978149,pg_pd
CAN1,-0.3832420535964989,5.74486026577699,6.128102319373489,-0.06253845540158669,-0.046848673117556014,-0.3832420535964989,-0.2869765989713624,-2.9810963869527933,0.2907690498126789,0.4085604905535284,0.9954936997189089,0.999525168978149,pg_pd
CAP1,0.36322772178673324,4.356221536418841,3.9929938146321073,0.09096626207025543,0.1066560443542861,0.36322772178673324,0.4594931764118697,4.77318866047186,0.7256152434081571,0.6595297116341894,0.9954936997189089,0.999525168978149,pg_pd
CAP2,2.8421355079564092,5.706125312390504,2.8639898044340946,0.9923692827244531,1.0080590650084837,2.8421355079564092,2.9384009625815457,30.523940015905577,0.016132110598307915,0.01509203841575668,0.471975235761504,0.45836676674140997,pg_pd
CAR2,-0.02974680242993788,6.309381040075921,6.339127842505859,-0.004692570203502783,0.010997212080527893,-0.02974680242993788,0.06651865219519859,0.6909919290801281,0.9079511719148952,0.7968526842852532,0.9979039075422546,0.999525168978149,pg_pd
CAT2,-0.20495940879489805,7.375218849431611,7.580178258226509,-0.02703886397031133,-0.011349081686280654,-0.20495940879489805,-0.10869395416976158,-1.1291065376777416,0.6301871832421148,0.7961822080441536,0.9954936997189089,0.999525168978149,pg_pd
CBR1,-0.34012096822633353,5.828184778079435,6.1683057463057684,-0.055140095548933156,-0.039450313264902476,-0.34012096822633353,-0.24385551360119706,-2.5331570348967367,0.4820487810880341,0.6070877692356318,0.9954936997189089,0.999525168978149,pg_pd
CBT1,0.20426033597253268,0.9016544601880091,0.6973941242154764,0.29289081866342426,0.30858060094745493,0.20426033597253268,0.30052579059766915,3.121844609449307,0.8748649526721419,0.8171477523330047,0.9979039075422546,0.999525168978149,pg_pd
