name,LogFC,pvalue,padj,exp
BAP3,1.0795002329074554,0.2616037875779647,0.9992707319087202,pg_pd
BAT2,-0.47158200524773464,0.32188743433330613,0.9992707319087202,pg_pd
BBC1,-0.8635008217575113,0.6102508276270764,0.9992707319087202,pg_pd
BCH1,-0.46373177408076904,0.48237310305014885,0.9992707319087202,pg_pd
BCK1,-0.6348133593070767,0.4028151911208844,0.9992707319087202,pg_pd
BDF2,-0.17082750088606002,0.8726300819552457,0.9992707319087202,pg_pd
BDH1,-0.24451767399117966,0.4786730834570142,0.9992707319087202,pg_pd
BDH2,0.025162627592516598,0.9658885976600684,0.9992707319087202,pg_pd
BEM1,5.370182871300823,NA,NA,pg_pd
BEM2,-0.0746427176018619,0.8870375176405625,0.9992707319087202,pg_pd
BER1,-0.6477534386873189,0.1927859040931071,0.9992707319087202,pg_pd
BET1,4.475041756305718,7.203984706042043e-14,4.3494057662728836e-12,pg_pd
BFA1,-1.0283331544030445,0.049544486488970065,0.6443002006502513,pg_pd
BGL2,0.25011423247550013,0.7914137516499479,0.9992707319087202,pg_pd
BIM1,0.5332962062445816,0.1963802669318529,0.9992707319087202,pg_pd
BIO2,-0.540559676368436,0.3920735587930769,0.9992707319087202,pg_pd
BIO3,-0.5316074368376101,0.3163652332697074,0.9992707319087202,pg_pd
BIO4,-0.30938490708211847,0.42046007024129595,0.9992707319087202,pg_pd
BIO5,0.6849722243733709,0.03884451976528968,0.565340767562537,pg_pd
BIT2,0.39807073048880776,0.5343631224573533,0.9992707319087202,pg_pd
BIT61,-0.1931660316373361,0.8355993969997739,0.9992707319087202,pg_pd
BLI1,-2.5303192134610226,0.01754686895910402,0.3119682591624751,pg_pd
BLM10,-0.6723216817954428,0.2800760316190349,0.9992707319087202,pg_pd
BLS1,-0.4462256086533997,0.3723311046935243,0.9992707319087202,pg_pd
BMH1,0.6905093164683683,0.16262659375560032,0.9992707319087202,pg_pd
BMH2,-0.3935266831281015,0.7777012194600614,0.9992707319087202,pg_pd
BMT2,0.3814211571768978,0.39383446458604376,0.9992707319087202,pg_pd
BMT5,-0.27266671460486036,0.6760891200882382,0.9992707319087202,pg_pd
BMT6,0.1742596239592477,0.845877775632434,0.9992707319087202,pg_pd
BNA2,0.32522493952558035,0.7031677065757505,0.9992707319087202,pg_pd
BNA3,0.28081540175494446,0.8370335781375214,0.9992707319087202,pg_pd
BNA4,-0.8937188559490551,0.3025087418585336,0.9992707319087202,pg_pd
BNA5,-0.03359249970861176,0.9156796831186494,0.9992707319087202,pg_pd
BNA7,-0.5462015412058808,0.17641806404234814,0.9992707319087202,pg_pd
BNI1,3.5791046434553913,0.003956797792225822,0.08958437501461275,pg_pd
BNI5,0.025037432709637146,0.9355278792976307,0.9992707319087202,pg_pd
BNR1,-0.7965703116594509,0.5791596288550607,0.9992707319087202,pg_pd
BOI2,-0.38225985417029396,0.6792205268599669,0.9992707319087202,pg_pd
BOL1,-0.35336501304728735,0.3776432597689898,0.9992707319087202,pg_pd
BOL3,-0.22271260212684826,0.7437884647322197,0.9992707319087202,pg_pd
BOP2,2.409879330421884,4.57857393573819e-4,0.011953790329521869,pg_pd
BOR1,-0.4205394398633224,0.3916188588473352,0.9992707319087202,pg_pd
BPH1,-0.5729070794787743,0.20083685697246936,0.9992707319087202,pg_pd
BPT1,-0.021642894539326173,0.966516714930836,0.9992707319087202,pg_pd
BRE1,4.321976830411538,6.650136802595837e-21,1.0143208659959334e-18,pg_pd
BRE2,0.4909068351739113,0.1795903135839026,0.9992707319087202,pg_pd
BRE4,0.00837919817993879,0.9859168850909487,0.9992707319087202,pg_pd
BSC1,0.2076121744826586,0.7122378709321775,0.9992707319087202,pg_pd
BSC2,-0.10592029279156655,0.8121511495763024,0.9992707319087202,pg_pd
BSC4,-0.8877328357580239,0.014429629844261471,0.26729268807583156,pg_pd
BSC6,0.815884950302237,0.41051484341223593,0.9992707319087202,pg_pd
BSD2,-0.16092213208079795,0.7177508465537834,0.9992707319087202,pg_pd
BTN2,-0.8833717391274443,0.12091708459037234,0.9648792722200354,pg_pd
BTT1,0.25831360321144664,0.7000097795298404,0.9992707319087202,pg_pd
BUB2,-0.26537025344614645,0.4461077523563889,0.9992707319087202,pg_pd
BUD16,4.135943193291449,2.272934506408873e-14,1.4637698221273143e-12,pg_pd
BUD17,0.01756530200349143,0.9803389587021089,0.9992707319087202,pg_pd
BUD2,-0.9970647796617353,0.06742454459060501,0.7604459499273006,pg_pd
BUD26,-0.3540588254484966,0.8307536169071296,0.9992707319087202,pg_pd
BUD3,-0.7215612194534854,0.343066687389282,0.9992707319087202,pg_pd
BUD6,-0.16929864526457422,0.8202440753385047,0.9992707319087202,pg_pd
BUD8,-0.4940786077228959,0.3466925400361424,0.9992707319087202,pg_pd
BUD9,-0.2557035687795321,0.7711331798147596,0.9992707319087202,pg_pd
BUG1,0.5162327821018752,0.7205833725428787,0.9992707319087202,pg_pd
BUL2,-0.8073044447474061,0.038819218929080586,0.565340767562537,pg_pd
BXI1,-0.5394004198898816,0.45060103408793706,0.9992707319087202,pg_pd
BYE1,-0.230752642476625,0.48928123619631714,0.9992707319087202,pg_pd
BZZ1,0.458768604424126,0.20746764608564952,0.9992707319087202,pg_pd
CAC2,0.7399240561697952,0.4660753359177034,0.9992707319087202,pg_pd
CAD1,-0.4507455186076333,0.2912353037000652,0.9992707319087202,pg_pd
CAF120,0.009737616601191415,0.9948528692370986,0.9992707319087202,pg_pd
CAF130,-1.4692633426243986,0.3431022361134373,0.9992707319087202,pg_pd
CAF16,0.08589331436807732,0.8992660013144075,0.9992707319087202,pg_pd
