name	pd1	pd2	pd3	pg1	pg2	pg3	rd1	rd2	rd3	rg1	rg2	rg3	yd1	yd2	yd3	yg1	yg2	yg3
RPS14A	1	2	5	26	6	56	0	0	19	33	9	103	276	225	155	53	45	9
RPS14B	4101	4040	11830	4139	3325	4764	3037	2339	4915	4190	3005	8559	2230	1614	2392	4825	4106	3334
RPS16A	0	0	2	2	1	0	8	14	2	2	4	0	52	81	43	10	23	2
RPS17A	0	1	0	0	0	0	18	0	0	2	0	0	35	34	16	9	2	2
RPS17B	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0
RPS18B	3	0	34	59	34	26	9	19	36	49	21	43	755	970	550	201	261	116
RPS19A	0	2	79	1	8	2	0	2	0	0	8	15	245	282	179	61	65	20
RPS1A	38	65	17	102	93	38	26	10	24	84	131	28	572	450	361	439	376	148
RPS1B	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPS20	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
RPS21B	118	184	104	110	154	119	152	197	86	126	176	68	275	212	188	210	271	53
RPS22A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
RPS22B	40	38	5	57	42	11	28	78	18	86	33	27	353	378	302	78	96	75
RPS24A	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
RPS24B	225	314	483	6073	7484	4300	115	95	88	6014	6158	10968	3544	2317	3545	5658	6470	4321
RPS25A	42	1	60	68	63	107	234	0	90	89	33	71	742	522	451	217	239	116
RPS26B	0	37	113	53	61	38	60	76	11	76	82	47	523	442	355	132	169	84
RPS27A	491	114	321	333	127	173	290	45	184	323	148	178	910	482	727	412	324	176
RPS27B	0	2	2	2	0	15	0	0	0	6	2	14	105	161	72	89	179	24
RPS28A	0	186	0	45	15	0	0	29	0	23	13	0	212	121	117	40	33	12
RPS28B	73	9	206	129	95	88	68	28	10	162	68	175	584	399	572	470	582	277
RPS29A	2	28	37	67	44	93	27	44	2	24	98	51	345	402	326	272	365	161
