name,delta,SE_delta,t_stat,df,pvalue,padj
AFI1,0.6343880829652773,0.22505043422767776,2.818870735097019,3.8729600387204504,0.04969581318308381,0.999940343744442
NAS2,-0.2798237843735585,0.1135709775669873,-2.463867005181942,5.854306250554179,0.049858384363087566,0.999940343744442
YHL017W,-0.18910471355885328,0.07917459160901096,-2.3884520237592364,6.229839044600343,0.052616161131164775,0.999940343744442
PTP2,-2.3294088142391676,0.9041348009817866,-2.576395479644957,4.701689625921694,0.052632762326758675,0.999940343744442
ASI2,-0.11346316588882743,0.04239816794284755,-2.6761336961959072,4.1559066732358865,0.053271885834058744,0.999940343744442
SAT4,0.6078133365667142,0.26012542053434395,2.3366164495502106,6.657390060476632,0.05394880450630659,0.999940343744442
YGR210C,1.2064235811728627,0.45412509219251634,2.65658868429456,3.8409232366677872,0.05903076549946788,0.999940343744442
YBR200W-A,-0.206085758673634,0.09324031495318688,-2.210264506046589,7.580718469053035,0.059877681859969376,0.999940343744442
YPL205C,2.941855058142674,1.2481300511562192,2.357010037069017,5.492437790248247,0.060413285528442474,0.999940343744442
YNL040W,-0.39948292288732024,0.16987658718960433,-2.351606713416284,5.532691044193984,0.060503737231088206,0.999940343744442
PHO13,-0.9237195067260631,0.337119226646011,-2.7400380450445394,3.3826896540998233,0.06243875125973916,0.999940343744442
ATH1,0.9088468927485591,0.3934610967658553,2.309877393772947,5.619227613418543,0.06319199781254163,0.999940343744442
YMR082C,0.4779388213189959,0.20362884588103486,2.3471076470090093,5.25113432370739,0.06333980530726112,0.999940343744442
ETT1,-0.2802042473236339,0.12682491085541991,-2.209378626278445,6.789176851340463,0.0640330373938334,0.999940343744442
JID1,2.4172733396494923,1.1179091470154303,2.162316451299353,7.631557481219674,0.06418619516631487,0.999940343744442
RAD34,-1.338626464713169,0.5638872493906472,-2.3739257558310234,4.845874450707464,0.06526472273985234,0.999940343744442
YMR090W,0.2570629525479431,0.09940863051967702,2.5859218782524103,3.615786189425706,0.06739070791434738,0.999940343744442
CUL3,-0.4087080048623033,0.18864911120756575,-2.1664984385355117,6.670204363304652,0.06887200460480206,0.999940343744442
YML020W,1.1948944057210609,0.5133396930239333,2.3276875370425554,4.689695824263491,0.07084258452007601,0.999940343744442
SET4,-0.534837644490727,0.23449723868631295,-2.280784402780024,5.059342782183469,0.07084990790452499,0.999940343744442
JIP4,0.9179220773212595,0.4196894011654061,2.1871461961449254,5.863882672614312,0.07239973290144158,0.999940343744442
VHR2,0.8432591703530985,0.32956439356197914,2.5587083642108075,3.427740645505163,0.07297270528851611,0.999940343744442
GAT2,-1.23122345470399,0.564361231768931,-2.1816230197897353,5.818435055814544,0.073307810288317593,0.999940343744442
MRK1,-0.8152886839862834,0.3720449524383978,-2.19137144219495,5.445398587595236,0.07552524757417217,0.999940343744442
CSF1,3.763479476556986,1.7861575308664963,2.107025506720707,5.945947558322919,0.08012006132919731,0.999940343744442
HMT1,-2.371084815575881,1.024544682406037,-2.3142815108928523,3.969694571309319,0.08215020120218963,0.999940343744442
IMA5,-0.21085771167710377,0.10486284029983962,-2.0107953501372617,6.9293198360600075,0.08468216043299982,0.999940343744442
ACK1,0.7575368404731533,0.3843214278689199,1.9711022741399826,7.466359683669762,0.08677444717417493,0.999940343744442
KTR7,0.678689796633706,0.3280529393307006,2.0688422972779357,5.48399044412135,0.08842316667953126,0.999940343744442
FMP45,0.8143042104273412,0.41130701041260426,1.9797965748516388,6.828375082556552,0.0892405216086399,0.999940343744442
ALD3,0.6389013365370264,0.3187541995332426,2.004369942333563,5.746277359996061,0.09396888331582898,0.999940343744442
SLC1,2.9738508271000565,1.5055636289195318,1.9752408798784822,6.041619813204883,0.09532273012449782,0.999940343744442
YCR051W,2.3885514966316594,1.235672945315841,1.932996514721895,6.820770196613783,0.09559634961114495,0.999940343744442
MSS1,1.5902546707883625,0.8409928207524313,1.8909253819379468,6.970734446858251,0.10071457220202071,0.999940343744442
YIL168W,-0.3105202610828357,0.16359865080215877,-1.898061258820224,6.732904920718063,0.10114984396787331,0.999940343744442
FYV8,1.7263429941179442,0.7941386974597118,2.173855775622274,3.6405742847191025,0.10212919971837443,0.999940343744442
FDO1,-0.2687897043353473,0.12606880888789257,-2.132087283971804,3.8684960685066594,0.10231311264777984,0.999940343744442
