Description	condition	padj	pvalue	NES	geneID	coverage	setSize	qvalue
protein N-linked glycosylation	pg_pd	0.24512080884935417	0.00733376939335986	-1.7497381927647597	KTR2/KRE2/MNN10/OST6/YMR196W/KTR4/KTR3/GDA1/ALG12	52.94117647058824	17	0.16924875256510216
cell growth	pg_pd	0.24512080884935417	0.007427189455832176	1.6077952628288277	STE7/ELM1/POF1/PTP1/STE11/PEA2/NCS2/TPM1/STE20/KSP1/TEC1	21.153846153846153	52	0.16924875256510216
pheromone-dependent signal transduction involved in conjugation with cellular fusion	pg_pd	0.24512080884935417	0.008265178378408133	1.6319539603753923	STE7/STE2/STE11/STE4/MFA1/GPA1/STE20	41.17647058823529	17	0.16924875256510216
mitotic recombination	pg_pd	0.2635257326491059	0.009316566305776472	1.6191585635156582	BRE1/HO/RAD54/IES5/RAD27/IES3/SGS1/NHP10/IRC8	45	20	0.18190860114065108
synaptonemal complex organization	pg_pd	0.26991367111253933	0.00979025712483499	-1.7075364559244768	SPO16/GMC1/DMC1/SPO11/GMC2	50	10	0.187481442107164
telomere maintenance via recombination	pg_pd	0.2777138525611438	0.010455709784212024	1.6263565430375397	BRE1/RAD54/IES5/IES3/SGS1/NHP10	50	12	0.19280899524102485
nucleocytoplasmic transport	pg_pd	0.28245998105330306	0.010893773373956592	1.5383438246388743	RPS18B/YJR084W/RTG2/MSN5/POM152/RPS0A/ZUO1/RPS26B/SSB1/KAP120/NUP2/RPL40B/GPA1/RPS10B/POM34/RPS28B/NUP188/SKY1	29.508196721311474	61	0.19341074407164763
nuclear transport	pg_pd	0.28245998105330306	0.010893773373956592	1.5383438246388743	RPS18B/YJR084W/RTG2/MSN5/POM152/RPS0A/ZUO1/RPS26B/SSB1/KAP120/NUP2/RPL40B/GPA1/RPS10B/POM34/RPS28B/NUP188/SKY1	29.508196721311474	61	0.19341074407164763
organelle fusion	pg_pd	0.2856626249062745	0.011410766008652836	1.5802416462511197	TRX2/BET1/FUS2/ARF1/VTC1/GOS1/BEM1/VPS8/GPA1/SAC1	22.22222222222222	45	0.1959089772084498
fatty acid oxidation	pg_pd	0.30982070927452615	0.013056935692954418	-1.7011726245832406	MDH3/PXP1/PEX11/TES1/IDP3/POT1/ECI1	53.84615384615385	13	0.21329087531766044
lipid oxidation	pg_pd	0.30982070927452615	0.013056935692954418	-1.7011726245832406	MDH3/PXP1/PEX11/TES1/IDP3/POT1/ECI1	53.84615384615385	13	0.21329087531766044
inorganic anion transmembrane transport	pg_pd	0.30982070927452615	0.013065757108518415	1.616426112352999	SYG1/YCR023C/OAC1/ATR1/PHO87/PIC2	33.33333333333333	18	0.21329087531766044
regulation of cellular component biogenesis	pg_pd	0.30982070927452615	0.013578492902038667	1.480362891643537	SIR4/CAP2/SIP2/BNI1/FUS2/IXR1/TUS1/RAV1/TIF2/TIF4631/GID12/SPS1/AIP1/MVB12/RIM101/ORM2	25.396825396825395	63	0.21674445797080139
DNA replication	pg_pd	0.30982070927452615	0.013712638276482517	1.5683010355003257	MHF2/SLX1/BRE1/SIR3/YTA7/SIR2/DEP1/DDI1/RAD27/CTF8/MRC1/RNR3/SGS1/SLX4	26.41509433962264	53	0.21674445797080139
carbohydrate derivative transport	pg_pd	0.3240533498875377	0.014729697722160805	1.585329687228426	AAC3/YEA4/VPS27/VPS36/MVB12/VPS20/HSE1	31.818181818181817	22	0.22918246784809412
reproductive process	pg_pd	0.3287723516232113	0.015246100786934958	1.3098554199950951	STE7/MHF2/ELM1/HUB1/STE2/BRE1/CDA2/CWP1/RMD6/HO/BNI1/STE11/FUS2/PEA2/SIR2/RAD54/MLH1/VPS1/RAD27/TRS85/DOM34/SAG1/BEM1/SDH5/NIP100/MSC1/GPA1/SHE10/EMI1/SPS1/MPC54/RDH54/SGS1/SHE2/SLX4/STE20/QDR3/LRS4/RIM101/RMD1	18.099547511312217	221	0.23356779505166758
establishment of mitotic spindle orientation	pg_pd	0.3366307977372504	0.01653787665651322	1.5617710903087023	BNI1/PAC1/LDB18/NIP100	36.36363636363637	11	0.24168205212491328
establishment of spindle orientation	pg_pd	0.3366307977372504	0.01653787665651322	1.5617710903087023	BNI1/PAC1/LDB18/NIP100	36.36363636363637	11	0.24168205212491328
reactive oxygen species metabolic process	pg_pd	0.346735514039161	0.01813747351414725	1.589871346487395	SOD1/TSA1/SOD2/CCS1/CTT1/TDH3/CTA1/LPD1	61.53846153846154	13	0.24907186750852672
regulation of protein-containing complex assembly	pg_pd	0.36419111162980145	0.02017723611709601	1.5397409036755076	CAP2/SIP2/BNI1/RAV1/TIF2/TIF4631/GID12/AIP1/MVB12	30	30	0.2645783008756467
non-membrane-bounded organelle assembly	pg_pd	0.3696980045147391	0.02138338368493719	1.5176801439313152	MHF2/ELM1/RPS14A/RPS0A/ASE1/TIF4631/RPS26B/RSA3/NEM1/RPL40B/RPS28B/STE20/RPS27B/RPS28A/HPM1/RPL12A/RPL6A/SAM1/RPL14A/PUB1/CHL4	40.38461538461539	52	0.2695877884051517
monocarboxylic acid catabolic process	pg_pd	0.37938646510040863	0.02271756495449607	-1.6056779749024332	MDH3/PXP1/TES1/EHT1/IDP3/POT1/ECI1	35	20	0.27928286480771003
cellular response to starvation	pg_pd	0.4093389322067256	0.0261240181711363	1.5387776711083496	PHM8/SYG1/ELM1/SIP2/REG1	15.151515151515152	33	0.31053209313074126
glutamine metabolic process	pg_pd	0.4113517275657703	0.026441341533153282	-1.5940274594367863	GLT1/NIT3/YML096W	30	10	0.31053209313074126
