gene_id	go_term
MAL23	GO:0006807
MAL23	GO:0008150
MAL23	GO:0008152
MAL23	GO:0009056
MAL23	GO:0009058
MAL23	GO:0009059
MAL23	GO:0009311
MAL23	GO:0009313
MAL23	GO:0009889
MAL23	GO:0009987
MAL23	GO:0010467
MAL23	GO:0010468
MAL23	GO:0010556
MAL23	GO:0016052
MAL23	GO:0016070
MAL23	GO:0018130
MAL23	GO:0019219
MAL23	GO:0019222
MAL23	GO:0019438
MAL23	GO:0031323
MAL23	GO:0031326
MAL23	GO:0032774
MAL23	GO:0034641
MAL23	GO:0034654
MAL23	GO:0043170
MAL23	GO:0043226
MAL23	GO:0043227
MAL23	GO:0043229
MAL23	GO:0043231
MAL23	GO:0044237
MAL23	GO:0044238
MAL23	GO:0044249
MAL23	GO:0044271
MAL23	GO:0046352
MAL23	GO:0046483
MAL23	GO:0050789
MAL23	GO:0050794
MAL23	GO:0051171
MAL23	GO:0051252
MAL23	GO:0060255
MAL23	GO:0065007
MAL23	GO:0071704
MAL23	GO:0080090
MAL23	GO:0090304
MAL23	GO:0110165
MAL23	GO:0140110
MAL23	GO:1901360
MAL23	GO:1901362
MAL23	GO:1901575
MAL23	GO:1901576
MAL23	GO:2001141
MAL3	NA
MAL34	NA
MAL4	NA
MAL41	GO:0003674
MAL41	GO:0005215
MAL41	GO:0005363
MAL41	GO:0005575
MAL41	GO:0005886
MAL41	GO:0006810
MAL41	GO:0008150
MAL41	GO:0008643
MAL41	GO:0009987
MAL41	GO:0015144
MAL41	GO:0015154
MAL41	GO:0015157
MAL41	GO:0015766
MAL41	GO:0015768
MAL41	GO:0015772
MAL41	GO:0016020
MAL41	GO:0022857
MAL41	GO:0034219
MAL41	GO:0051179
MAL41	GO:0051234
MAL41	GO:0055085
MAL41	GO:0071702
MAL41	GO:0071944
MAL41	GO:0110165
MAL41	GO:1904981
MAL42	GO:0000023
MAL42	GO:0000025
MAL42	GO:0003674
MAL42	GO:0003824
MAL42	GO:0004553
MAL42	GO:0004558
MAL42	GO:0005575
MAL42	GO:0005975
MAL42	GO:0005984
MAL42	GO:0008150
MAL42	GO:0008152
MAL42	GO:0009056
MAL42	GO:0009311
MAL42	GO:0009313
MAL42	GO:0015926
MAL42	GO:0016052
MAL42	GO:0016787
MAL42	GO:0016798
MAL42	GO:0032450
MAL42	GO:0044238
MAL42	GO:0046352
MAL42	GO:0071704
MAL42	GO:0090599
MAL42	GO:1901575
MAL43	GO:0000023
MAL43	GO:0000025
MAL43	GO:0003674
MAL43	GO:0003700
MAL43	GO:0005575
MAL43	GO:0005622
MAL43	GO:0005634
MAL43	GO:0005975
MAL43	GO:0005984
MAL43	GO:0006139
MAL43	GO:0006351
MAL43	GO:0006355
MAL43	GO:0006725
MAL43	GO:0006807
MAL43	GO:0008150
MAL43	GO:0008152
MAL43	GO:0009056
MAL43	GO:0009058
MAL43	GO:0009059
MAL43	GO:0009311
MAL43	GO:0009313
MAL43	GO:0009889
MAL43	GO:0009987
MAL43	GO:0010467
MAL43	GO:0010468
MAL43	GO:0010556
MAL43	GO:0016052
MAL43	GO:0016070
MAL43	GO:0018130
MAL43	GO:0019219
MAL43	GO:0019222
MAL43	GO:0019438
MAL43	GO:0031323
MAL43	GO:0031326
MAL43	GO:0032774
MAL43	GO:0034641
MAL43	GO:0034654
MAL43	GO:0043170
MAL43	GO:0043226
MAL43	GO:0043227
MAL43	GO:0043229
MAL43	GO:0043231
MAL43	GO:0044237
MAL43	GO:0044238
MAL43	GO:0044249
MAL43	GO:0044271
MAL43	GO:0046352
MAL43	GO:0046483
MAL43	GO:0050789
MAL43	GO:0050794
MAL43	GO:0051171
MAL43	GO:0051252
MAL43	GO:0060255
MAL43	GO:0065007
MAL43	GO:0071704
MAL43	GO:0080090
MAL43	GO:0090304
MAL43	GO:0110165
MAL43	GO:0140110
MAL43	GO:1901360
MAL43	GO:1901362
MAL43	GO:1901575
MAL43	GO:1901576
MAL43	GO:2001141
MAL6	NA
MAL61	GO:0003674
MAL61	GO:0005215
MAL61	GO:0005363
MAL61	GO:0005575
MAL61	GO:0005886
MAL61	GO:0006810
MAL61	GO:0008150
MAL61	GO:0008643
MAL61	GO:0009987
MAL61	GO:0015144
MAL61	GO:0015154
MAL61	GO:0015157
MAL61	GO:0015766
MAL61	GO:0015768
MAL61	GO:0015772
MAL61	GO:0016020
MAL61	GO:0022857
MAL61	GO:0034219
MAL61	GO:0051179
MAL61	GO:0051234
MAL61	GO:0055085
MAL61	GO:0071702
MAL61	GO:0071944
MAL61	GO:0110165
MAL61	GO:1904981
MAL62	GO:0000023
MAL62	GO:0000025
MAL62	GO:0003674
MAL62	GO:0003824
MAL62	GO:0004553
MAL62	GO:0004558
MAL62	GO:0005575
MAL62	GO:0005975
MAL62	GO:0005984
MAL62	GO:0008150
MAL62	GO:0008152
MAL62	GO:0009056
MAL62	GO:0009311
MAL62	GO:0009313
MAL62	GO:0015926
MAL62	GO:0016052
MAL62	GO:0016787
MAL62	GO:0016798
MAL62	GO:0032450
MAL62	GO:0044238
MAL62	GO:0046352
MAL62	GO:0071704
MAL62	GO:0090599
MAL62	GO:1901575
MAL63	GO:0003674
MAL63	GO:0003700
MAL63	GO:0005575
MAL63	GO:0005622
MAL63	GO:0005634
MAL63	GO:0006139
MAL63	GO:0006351
MAL63	GO:0006355
MAL63	GO:0006725
MAL63	GO:0006807
MAL63	GO:0008150
MAL63	GO:0008152
MAL63	GO:0009058
MAL63	GO:0009059
MAL63	GO:0009889
MAL63	GO:0009987
MAL63	GO:0010467
MAL63	GO:0010468
MAL63	GO:0010556
MAL63	GO:0016070
MAL63	GO:0018130
MAL63	GO:0019219
MAL63	GO:0019222
MAL63	GO:0019438
MAL63	GO:0031323
MAL63	GO:0031326
MAL63	GO:0032774
MAL63	GO:0034641
MAL63	GO:0034654
MAL63	GO:0043170
MAL63	GO:0043226
MAL63	GO:0043227
MAL63	GO:0043229
MAL63	GO:0043231
MAL63	GO:0044237
MAL63	GO:0044238
MAL63	GO:0044249
MAL63	GO:0044271
MAL63	GO:0046483
MAL63	GO:0050789
MAL63	GO:0050794
MAL63	GO:0051171
MAL63	GO:0051252
MAL63	GO:0060255
MAL63	GO:0065007
MAL63	GO:0071704
MAL63	GO:0080090
MAL63	GO:0090304
MAL63	GO:0110165
MAL63	GO:0140110
MAL63	GO:1901360
MAL63	GO:1901362
MAL63	GO:1901576
MAL63	GO:2001141
MAL64	NA
MATA	NA
MATA1	GO:0000003
MATA1	GO:0003006
MATA1	GO:0003674
MATA1	GO:0003712
MATA1	GO:0003714
MATA1	GO:0005575
MATA1	GO:0005622
MATA1	GO:0005634
MATA1	GO:0006139
MATA1	GO:0006351
MATA1	GO:0006355
MATA1	GO:0006725
MATA1	GO:0006807
MATA1	GO:0007530
MATA1	GO:0007531
MATA1	GO:0007532
MATA1	GO:0008150
MATA1	GO:0008152
MATA1	GO:0009058
MATA1	GO:0009059
MATA1	GO:0009889
MATA1	GO:0009987
MATA1	GO:0010467
MATA1	GO:0010468
MATA1	GO:0010556
MATA1	GO:0016070
MATA1	GO:0018130
MATA1	GO:0019219
MATA1	GO:0019222
MATA1	GO:0019438
